id,year,month,authors,title,title_ja,note,venue,links,award,hidden,rm_id,rm_target,rm_type,rm_skip,journal,volume,number,pages,doi,referee,lang
p0183,2019,,"井上昂治, Divesh Lala, 山本賢太, 中村静, 高梨克也, 河原達也",自律型アンドロイドERICAによる傾聴対話システムの評価,,,"人工知能学会研究会資料, SLUD-B902-04",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=repository_uri&item_id=10544,,,,,,,,,,,,,
p0184,2019,,"原康平, 井上昂治, Divesh Lala, 山本賢太, 中村静, 高梨克也, 河原達也",アンドロイドERICAによる面接対話における掘り下げ質問生成,,,"人工知能学会研究会資料, SLUD-B902-03",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=repository_uri&item_id=10543,,,,,,,,,,,,,
p0185,2019,,"春日悠生, 井上昂治, 山本賢太, 高梨克也, 河原達也",ヒューマンロボットインタラクションコーパスへの焦点アノテーションの基準と予備的分析,,,"人工知能学会研究会資料, SLUD-B901-03",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&page_id=13&active_action=repository_view_main_item_detail&item_id=10353&item_no=1&block_id=23,人工知能学会 2019年度研究会優秀賞,,,,,,,,,,,,
p0186,2019,,"井上昂治, Lala Divesh, 山本賢太, 中村静, 高梨克也, 河原達也",自律型アンドロイドERICAによる傾聴対話の評価,,,"日本音響学会2019秋季研究発表会, 1-3-2",,日本音響学会粟屋潔学術奨励賞,,,,,,,,,,,,
p0187,2019,,"山本賢太, 井上昂治, 中村静, 高梨克也, 河原達也",対話のふるまい制御によるキャラクタ表現モデルと対話コーパスによる検証,,,"情報処理学会全国大会講演論文集, 2T-07",,,,,,,,,,,,,,
p0188,2019,,"田中滉己, 井上昂治, 中村静, 高梨克也, 河原達也",対話相手への好感に基づく発話構成要素の選択とお見合い対話システムへの実装,,,"情報処理学会全国大会講演論文集, 2T-06",,大会優秀賞; 学生奨励賞,,,,,,,,,,,,
p0189,2019,,"磯西爽太, 田中滉己, 井上昂治, 高梨克也, 河原達也",質問タイプの分類に基づく用例なし質問に対する応答生成,,,"情報処理学会全国大会講演論文集, 2T-05",,,,,,,,,,,,,,
p0190,2019,,"原康平, 井上昂治, 高梨克也, 河原達也",移行適格場の予測に基づくターンテイキング予測,,,"情報処理学会全国大会講演論文集, 2T-04",,,,,,,,,,,,,,
p0191,2019,,"原康平, 井上昂治, 高梨克也, 河原達也",移行適格場の情報を考慮したターンテイキング予測,,,"人工知能学会研究会資料, SLUD-B803-10",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=9710&item_no=1&page_id=13&block_id=23,,,,,,,,,,,,,
p0192,2019,,"山本賢太, 井上昂治, 中村静, 高梨克也, 河原達也",対話のふるまいに基づくキャラクタ表現の対話コーパスにおける分析,,,"人工知能学会研究会資料, SLUD-B803-08",Link | https://jsai.ixsq.nii.ac.jp/ej/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=9708&item_no=1&page_id=13&block_id=23,人工知能学会 2018年度研究会優秀賞,,,,,,,,,,,,
