id,year,month,authors,title,title_ja,note,venue,links,award,hidden,rm_id,rm_target,rm_type,rm_skip,journal,volume,number,pages,doi,referee,lang
p0051,2025,,"Kei Shimonishi, Koji Inoue, Yasuyuki Usuda, Rui Sakaida",Toward Emotional Description via Meta-Dialogue: A Preliminary Framework for Data Collection,,,"Workshop on the Semantics and Pragmatics of Dialogue (SEMDIAL 2025, BIALOGUE), pp. 216–218",Link | https://www.semdial.org/anthology/papers/Z/Z25/Z25-4424/,,,,,,,"Workshop on the Semantics and Pragmatics of Dialogue (SEMDIAL 2025, BIALOGUE)",,,216–218,,,
p0052,2025,,"Taro Tsuda, Sanae Yamashita, Koji Inoue, Tatsuya Kawahara, Ryuichiro Higashinaka",Constructing a Multi-Party Conversational Corpus Focusing on Interlocutor Relationships,,,"Workshop on the Semantics and Pragmatics of Dialogue (SEMDIAL 2025, BIALOGUE), pp. 192-202",Link | https://www.semdial.org/anthology/papers/Z/Z25/Z25-3320/,,,,,,,"Workshop on the Semantics and Pragmatics of Dialogue (SEMDIAL 2025, BIALOGUE)",,,192-202,,,
p0053,2025,,"Koji Inoue, Mikey Elmers, Yahui Fu, Zi Haur Pang, Divesh Lala, Keiko Ochi, Tatsuya Kawahara",Prompt-Guided Turn-Taking Prediction,,,"SIGdial Meeting on Discourse and Dialogue (SIGDIAL), pp. 146–151","Link | https://aclanthology.org/2025.sigdial-1.9/
Preprint PDF | https://arxiv.org/pdf/2506.21191",,,,,,,SIGdial Meeting on Discourse and Dialogue (SIGDIAL),,,146–151,,,
p0054,2025,,"Koji Inoue, Yuki Okafuji, Jun Baba, Yoshiki Ohira, Katsuya Hyodo, Tatsuya Kawahara",A Noise-Robust Turn-Taking System for Real-World Dialogue Robots: A Field Experiment,,,"International Conference on Intelligent Robots and Systems (IROS), pp. 874-879","Link | https://ieeexplore.ieee.org/document/11246533
Preprint PDF | https://arxiv.org/abs/2503.06241",,,,,,,International Conference on Intelligent Robots and Systems (IROS),,,874-879,,,
p0055,2025,,"Mikey Elmers, Koji Inoue, Divesh Lala, Tatsuya Kawahara",Triadic Multi-party Voice Activity Projection for Turn-taking in Spoken Dialogue Systems,,,"INTERSPEECH, pp. 3015-3019","Link | https://www.isca-archive.org/interspeech_2025/elmers25_interspeech.html
Preprint PDF | https://arxiv.org/abs/2507.07518",,,,,,,INTERSPEECH,,,3015-3019,,,
p0056,2025,,"Noriki Nishida, Koji Inoue, Hideki Nakayama, Mayumi Bono, Katsuya Takanashi","Do Multimodal Large Language Models Truly See What We Point At? Investigating Indexical, Iconic, and Symbolic Gesture Comprehension",,,"Annual Meeting of the Association for Computational Linguistics (ACL), pp. 514-524",Link | https://aclanthology.org/2025.acl-short.40/,,,,,,,Annual Meeting of the Association for Computational Linguistics (ACL),,,514-524,,,
p0057,2025,,"Mayumi Bono, Noriki Nishida, Koji Inoue, Tomohiro Okada, Naoya Fujikawa, Yutaka Osugi, Hideki Nakayama, Katsuya Takanashi, Shin'Ichi Satoh",Relevant Annotation for Multimodal Interaction Analysis: AI Bridging Gestures and Signs,,,10th Conference of the International Society for Gesture Studies (ISGS),,,,,,,,,,,,,,
p0058,2025,,"Koji Inoue, Mikey Elmers, Divesh Lala, Tatsuya Kawahara",Why Do We Laugh? Annotation and Taxonomy Generation for Laughable Contexts in Spontaneous Text Conversation,,,"International Workshop on Spoken Dialogue Systems Technology (IWSDS), pp. 318-323","Link | https://aclanthology.org/2025.iwsds-1.34/
Preprint PDF | https://arxiv.org/abs/2501.16635
Poster | https://inokoj.github.io/slide/IWSDS2025_KI_Poster_Laugh.pdf",,,,,,,International Workshop on Spoken Dialogue Systems Technology (IWSDS),,,318-323,,,
p0059,2025,,"Koji Inoue, Divesh Lala, Mikey Elmers, Keiko Ochi, Tatsuya Kawahara",An LLM Benchmark for Addressee Recognition in Multi-modal Multi-party Dialogue,,,"International Workshop on Spoken Dialogue Systems Technology (IWSDS), pp. 330-334","Link | https://aclanthology.org/2025.iwsds-1.36/
Preprint PDF | https://arxiv.org/abs/2501.16643
Poster | https://inokoj.github.io/slide/IWSDS2025_KI_Poster_Multiparty.pdf",,,,,,,International Workshop on Spoken Dialogue Systems Technology (IWSDS),,,330-334,,,
p0060,2025,,"Divesh Lala, Mikey Elmers, Koji Inoue, Zi Haur Pang, Keiko Ochi, Tatsuya Kawahara",ScriptBoard: Designing modern spoken dialogue systems through visual programming,,,"International Workshop on Spoken Dialogue Systems Technology (IWSDS), 176-182","Link | https://aclanthology.org/2025.iwsds-1.17/
GitHub | https://github.com/DiveshLala/ScriptBoard",,,,,,,,,,,,,
p0061,2025,,"Koji Inoue, Divesh Lala, Gabriel Skantze, Tatsuya Kawahara","Yeah, Un, Oh: Continuous and Real-time Backchannel Prediction with Fine-tuning of Voice Activity Projection",,,"Annual Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics (NAACL), pp. 7171–7181","Link | https://aclanthology.org/2025.naacl-long.367/
Preprint PDF | https://arxiv.org/abs/2410.15929",,,,,,,Annual Conference of the Nations of the Americas Chapter of the Association for Computational Linguistics (NAACL),,,7171–7181,,,
